Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Caving Club of Victoria,PO Box 254,Mulgrave,3170,VIC,-37.921536,145.158443,Recreation Group,Monash,Eastern Metro
Central Gippsland Older Adults Recreation Network Inc,"Shop 8-10, Moore Street",Aberfeldy,3825,VIC,-37.699769,146.36174,Recreation Group,Baw Baw (S),Gippsland Region
Central Highlands Older Adults Network,PO Box 2341,Ballarat,3354,VIC,-37.558102,143.892045,Recreation Group,Ballarat,Grampians
Christian Youth Camps Inc,41 - 53 Church Street,Cowes,3922,VIC,-38.453355,145.242025,Recreation Group,Bass Coast,Gippsland
Connection Social Links Inc,PO Box 376,Richmond,3121,VIC,-37.818635,145.00147,Recreation Group,Yarra,North and West Metropolitan Region
Corio Bay Indoor Carpet Bowlers,38 Rugby Street,Belmont,3216,VIC,-38.177486,144.335418,Recreation Group,Greater Geelong,Barwon S/W
Craft Victoria,31 Flinders Lane,Melbourne,3000,VIC,-37.814681,144.973194,Recreation Group,Melbourne,North and West Metropolitan Region
Dandenong Bridge Club,PO Box 7058,Noble Park,3174,VIC,-37.967365,145.176483,Recreation Group,Greater Dandenong,Southern Metro
Dining and activity network,5/5 Elm Street,North Melbourne,3051,VIC,-37.803793,144.947161,Recreation Group,Melbourne,North and West Metropolitan Region
Dromana Bridge Club,Unit 1/7 Coonara Avenue,Mount Eliza,3930,VIC,-38.193457,145.091542,Recreation Group,Mornington Peninsula,Southern Metro
Earthwatch Australia,126 Bank Street,South Melbourne,3205,VIC,-37.832851,144.964574,Recreation Group,Port Phillip,Southern Metro
Eastern Contract Bridge Centre,15 Barwon Street,Box Hill North,3128,VIC,-37.810586,145.118635,Recreation Group,"Whitehorse , Boroondara",Eastern Metro
Echuca Bridge Club,PO Box 466,Echuca,3564,VIC,-36.127724,144.749497,Recreation Group,Campaspe,Loddon-Mallee
Eltham Bridge Club,90 Bonds Road,Lower Plenty,3093,VIC,-37.740054,145.115761,Recreation Group,Banyule,North and West Metropolitan Region
Essendon Bridge Club,PO Box 143,Essendon,3040,VIC,-37.755337,144.917282,Recreation Group,Moonee Valley,North and West Metropolitan Region
Euroa Life Ball,C/- Ralston Pavillion,Euroa,3666,VIC,-36.750865,145.57067,Recreation Group,Strathbogie,Hume
Falls Creek Alpine Association,PO Box 239,Glen Iris,3146,VIC,-37.860009,145.057355,Recreation Group,Stonnington (C); Boroondara (C),Southern Metropolitan Region; Eastern Metropolitan Region
Frankston Bridge Club,PO Box 623,Frankston,3199,VIC,-38.141399,145.122464,Recreation Group,Frankston,Southern Metro
Gawler Foundation,55 Rayner Court,Yarra Junction,3797,VIC,-37.806143,145.646774,Recreation Group,Yarra Ranges (S),Eastern Metropolitan Region
Geelong Bridge Club,PO Box 1546,Geelong,3220,VIC,-38.148544,144.361348,Recreation Group,Greater Geelong,Barwon S/W
Global Bridge Centre,543 Melbourne Road,Blairgowrie,3942,VIC,-38.360808,144.760086,Recreation Group,Mornington Peninsula,Southern Metro
Goulburn Valley Older Adults Recreation Network Inc,38 Welsford Street,Shepparton,3630,VIC,-36.376217,145.398444,Recreation Group,Greater Shepparton,Hume
Guides Victoria,101 Clarke Street ,South Melbourne,3205,VIC,-37.829704,144.960483,Recreation Group,Port Phillip,Southern Metro
Hallam Community Centre,Mapleson House,Hallam,3803,VIC,-37.998531,145.255031,Recreation Group,Casey,Southern Metro
Hamilton Bridge Club,PO Box 30,Hamilton,3300,VIC,-37.744418,142.021946,Recreation Group,Southern Grampians,Barwon S/W
Hand Tool Preservation Association of Australia Inc,21 Adeney Avenue,Kew,3101,VIC,-37.806302,145.047838,Recreation Group,Boroondara,Eastern Metro
Handweavers and  Spinners Guild of Victoria Inc,42 Courtney Street,North Melbourne,3051,VIC,-37.801714,144.954053,Recreation Group,Melbourne,North and West Metropolitan Region
Howmans Gap Alpine Centre,RMB 2587,Falls Creek,3699,VIC,-36.86326,147.281791,Recreation Group,Alpine (S),Hume Region
International Exchange Programs,"Level 3, 362 La Trobe Street",Melbourne,3000,VIC,-37.81072,144.959137,Recreation Group,Melbourne,North and West Metropolitan Region
Kattery Bridge Club,65 Pines Road,Mirboo North,3871,VIC,-38.378434,146.118436,Recreation Group,South Gippsland,Gippsland
Knox Bridge Club,4/18 Lafrank Street,Burwood,3148,VIC,-37.853559,145.127271,Recreation Group,"Whitehorse , Monash , Boroondara",Eastern Metro
Lady Northcote Recreation Camp,RSD Glenmore Road,Rowsley,3340,VIC,-37.747823,144.421566,Recreation Group,,
Lakes Entrance Bridge Club,PO Box 435,Lakes Entrance,3909,VIC,-37.879584,147.991605,Recreation Group,East Gippsland,Gippsland
Licola Wilderness Village,Jamieson Road,Licola,3858,VIC,-37.644318,146.639587,Recreation Group,,
Life Activities Club - Casey/Cardinia,PO Box 1182,Narre Warren,3805,VIC,-38.027115,145.30304,Recreation Group,Casey,Southern Metro
Life Activities Club - Croydon,PO Box 185,Croydon,3136,VIC,-37.796322,145.281036,Recreation Group,Maroondah,Eastern Metro
Liu's School of Wushu,53 Glaston Street,Kew,3101,VIC,-37.800716,145.040659,Recreation Group,Boroondara,Eastern Metro
Loddon Campaspe Older Adults Recreation Network,14 Nolan Street,Bendigo,3550,VIC,-36.750845,144.292798,Recreation Group,Greater Bendigo,Loddon-Mallee
Macedon Ranges Bridge Club,19 High Street,Trentham,3458,VIC,-37.388868,144.318637,Recreation Group,"Moorabool , Macedon Ranges , Hepburn","Loddon-Mallee, Grampians"
Melbourne Contract Bridge Centre,30 Cotham Road,Kew,3101,VIC,-37.807104,145.031537,Recreation Group,Boroondara,Eastern Metro
Melbourne Zoo,PO Box 74,Parkville,3052,VIC,-37.788107,144.952924,Recreation Group,Melbourne,North and West Metropolitan Region
Mildura Aboriginal Corporation,PO Box 2130,Mildura,3502,VIC,-34.198842,142.16321,Recreation Group,Mildura Rural,Loddon-Mallee
Mooroolbark Seniors Club,12 Beagley Street,Kallista,3791,VIC,-37.878288,145.370089,Recreation Group,Yarra Ranges,Eastern Metro
Mornington Bridge Group,Unit 1/7 Coonara Avenue,Mount Eliza,3930,VIC,-38.193457,145.091542,Recreation Group,Mornington Peninsula,Southern Metro
Mount Evelyn Recreation Camp,Tramway Road,Mount Evelyn,3796,VIC,-37.796198,145.380717,Recreation Group,Yarra Ranges,Eastern Metro
Mount Martha Bridge Club,"RMB 7659, Valley View Lane",Main Ridge,3928,VIC,-38.398895,144.96843,Recreation Group,,
Navigators Daughters,Base Studio,Collingwood,3066,VIC,-37.839072,144.992237,Recreation Group,Yarra (C),North and West Metropolitan Region
North East Older Adults Recreation Network,PO Box 1162,Wodonga,3689,VIC,-36.076653,146.91375,Recreation Group,Wodonga Rural,Hume
Northern Bridge Club,7/89 Tennyson Street,Essendon,3040,VIC,-37.757194,144.92975,Recreation Group,Moonee Valley,North and West Metropolitan Region
Northern Mallee Older Adults Recreation Network,2 Currawong Court,Mildura,3500,VIC,-34.192668,142.145381,Recreation Group,Mildura Rural,Loddon-Mallee
Ocean Grove Bridge Club,P.O. Box 10,Ocean Grove,3226,VIC,-38.262787,144.527285,Recreation Group,Greater Geelong,Barwon S/W
Outdoor Education Group,109 Goulburn Valley Highway,Eildon,3713,VIC,-37.253692,145.91543,Recreation Group,Murrindindi,Hume
Outdoor Travel,Shop 3/1 Ireland Street,Bright,3741,VIC,-36.730071,146.960773,Recreation Group,Alpine (S),Hume Region
Ovens and Murray Bridge Club,PO Box 590,Wangaratta,3676,VIC,-36.353801,146.326566,Recreation Group,Wangaratta Rural,Hume
Paynesville Bridge Club,PO Box 171,Paynesville,3880,VIC,-37.919013,147.720236,Recreation Group,East Gippsland,Gippsland
Peninsula Bridge Club,PO Box 390,Mount Eliza,3930,VIC,-38.182975,145.090588,Recreation Group,Mornington Peninsula,Southern Metro
Phillip Island Bridge Club,PO Box 28,San Remo,3925,VIC,-38.520668,145.371673,Recreation Group,Bass Coast,Gippsland
Probus Club of Brighton (Men),PO Box 2160,Brighton North,3186,VIC,-37.90566,145.004312,Recreation Group,Bayside,Southern Metro
Ravens Bridge Club,17 Barina Road,Glen Iris,3146,VIC,-37.860207,145.06698,Recreation Group,"Stonnington , Boroondara","Southern Metro, Eastern Metro"
Sale Bridge Club,PO Box 682,Sale,3850,VIC,-38.107715,147.064083,Recreation Group,Wellington,Gippsland
Albert Park Model Yacht Club,Lakeside Drive,Albert Park,3206,VIC,-37.849367,144.97685,Sailing/Boating Club,Port Phillip,Southern Metro
Albert Park Yacht Club,Aquatic Drive,South Melbourne,3205,VIC,-37.841693,144.966981,Sailing/Boating Club,Port Phillip,Southern Metro
Albert Sailing Club,Aquatic Drive,South Melbourne,3205,VIC,-37.841693,144.966981,Sailing/Boating Club,Port Phillip,Southern Metro
Altona Yacht Club Inc.,Cresser Reserve,Seaholme,3018,VIC,-37.866701,144.845278,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Apollo Bay Sailing Club,Apollo Bay Harbour,Apollo Bay,3233,VIC,-38.757167,143.669613,Sailing/Boating Club,Colac-otway,Barwon S/W
Ballarat Yacht Club,Wendouree Parade,Ballarat,3350,VIC,-37.544786,143.834625,Sailing/Boating Club,Ballarat,Grampians
Beaconhills Sailing Club,Toomuc Valley Road,Pakenham,3810,VIC,-38.039264,145.463216,Sailing/Boating Club,Cardinia,Southern Metro
Beaumaris Yacht Club,Ricketts Point,Beaumaris,3193,VIC,-37.994539,145.030861,Sailing/Boating Club,Bayside,Southern Metro
Bendigo Yacht Club,45 Sunset Drive,Lake Eppalock,3551,VIC,-36.86233,144.505302,Sailing/Boating Club,Greater Bendigo,Loddon-Mallee
Black Rock Yacht Club,Half Moon Bay,Black Rock,3193,VIC,-37.973949,145.01651,Sailing/Boating Club,Bayside,Southern Metro
Blairgowrie Yacht Squadron,2900 Point Nepean Road,Blairgowrie,3942,VIC,-38.358728,144.772804,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Boomaroo/Catalina Yacht Club,1 Susanne Court,Romsey,3434,VIC,-37.357751,144.747016,Sailing/Boating Club,Macedon Ranges,Loddon-Mallee
Cairn Curran Sailing Club,Cairn Curran Reservoir,Castlemaine,3450,VIC,-37.06444,144.2172,Sailing/Boating Club,Mount Alexander,Loddon-Mallee
Carrum Sailing Club,Carrum Foreshore,Chelsea,3196,VIC,-38.052059,145.115906,Sailing/Boating Club,Kingston,Southern Metro
Chelsea Yacht Club,Foreshore Chelsea,Chelsea,3196,VIC,-38.052059,145.115906,Sailing/Boating Club,Kingston,Southern Metro
Colac Yacht Club,Western Bay,Colac,3250,VIC,-38.338015,143.568255,Sailing/Boating Club,Colac-otway,Barwon S/W
Corio Bay Sailing Club,Foreshore Road,Corio,3214,VIC,-38.073662,144.397072,Sailing/Boating Club,Greater Geelong,Barwon S/W
Corner Inlet Boat Club,Cnr Port Welshpool Road & Lewis Street,Port Welshpool,3965,VIC,-38.698784,146.453203,Sailing/Boating Club,,
Cowes Yacht Club,Osborne Avenue,Cowes,3922,VIC,-38.450255,145.2344,Sailing/Boating Club,Bass Coast,Gippsland
Daveys Bay Yacht Club,Bottom of Davey's Bay Road,Mount Eliza,3930,VIC,-38.170596,145.090085,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Derrinallum Yacht and Power Boat Club,Chatsworth Road,Derrinallum,3325,VIC,-37.933342,143.154665,Sailing/Boating Club,Corangamite,Barwon S/W
Docklands Yacht Club,Harbour Esplanade,Docklands,3008,VIC,-37.817285,144.945893,Sailing/Boating Club,,
Elwood Sailing Club,Elwood Foreshore,Elwood,3184,VIC,-37.882195,144.983109,Sailing/Boating Club,Port Phillip,Southern Metro
Flinders Yacht Club,The Foreshore,Flinders,3929,VIC,-38.474038,145.016315,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Frankston Yacht Club,Foreshore Street,Frankston,3199,VIC,-38.141399,145.122464,Sailing/Boating Club,Frankston,Southern Metro
Geelong Trailable Yacht Club,PO Box 899,Geelong,3220,VIC,-38.148544,144.361348,Sailing/Boating Club,Greater Geelong,Barwon S/W
Gippsland Lakes Yacht Club,The Esplanade,Paynesville,3880,VIC,-37.919419,147.721817,Sailing/Boating Club,East Gippsland,Gippsland
Hampton Sailing Club,Jetty Road,Sandringham,3191,VIC,-37.945755,144.997501,Sailing/Boating Club,Bayside,Southern Metro
Hastings Yacht Club,1 Marine Parade,Hastings,3915,VIC,-38.309368,145.197393,Sailing/Boating Club,Mornington Peninsula,Southern Metro
HMAS Cerberus Sailing Club,PO Box 135,HMAS Cerberus,3920,VIC,-38.394324,145.209351,Sailing/Boating Club,,
Hobsons Bay Yacht Club,268 Nelson Place,Williamstown,3016,VIC,-37.859777,144.902607,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Lagoon Boat Club,Foreshore Road,Corio,3214,VIC,-38.073662,144.397072,Sailing/Boating Club,Greater Geelong,Barwon S/W
Lake Boga Yacht Club,Murray Valley Highway,Lake Boga,3584,VIC,-35.466739,143.647155,Sailing/Boating Club,Swan Hill Rural,Loddon-Mallee
Lake Cullulleraine Yacht Club,PO Box 1720,Mildura,3502,VIC,-34.198842,142.16321,Sailing/Boating Club,Mildura Rural,Loddon-Mallee
Lake Glenmaggie Yacht Club,"Kelly's Cove, Lake Glenmaggie",Coongulla,3860,VIC,-37.894899,146.784306,Sailing/Boating Club,,
Lake Hawthorn Sailing Club,Dyar Avenue,Cabarita,3505,VIC,-34.215001,142.086707,Sailing/Boating Club,,
Lake Learmonth Yacht Club,31 Scenic Crescent,Ballarat,3353,VIC,-37.541023,143.879275,Sailing/Boating Club,Ballarat,Grampians
Lake Wellington Yacht Club,Marlay Point,Clydebank,3851,VIC,-38.056852,147.212128,Sailing/Boating Club,,
Latrobe Valley Yacht Club,Yinnar Road,Hazelwood,3840,VIC,-38.296359,146.357161,Sailing/Boating Club,,
Loch Sport Boat Club,Charles Street,Loch Sport,3851,VIC,-38.054184,147.573646,Sailing/Boating Club,Wellington,Gippsland
Lysterfield Sailing Club Inc.,Lysterfield Lake Park,Lysterfield,3156,VIC,-37.963892,145.297279,Sailing/Boating Club,"Yarra Ranges , Knox",Eastern Metro
McCrae Yacht Club,690 Point Nepean Road,McCrae,3938,VIC,-38.348539,144.927544,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Melbourne Trailable Yacht Club,1 Boronia Street ,Pascoe Vale,3044,VIC,-37.735435,144.947889,Sailing/Boating Club,Moreland,North and West Metropolitan Region
Merricks Yacht Club,PO Box 90,Balnarring,3926,VIC,-38.373798,145.125992,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Metung Yacht Racing Club,113 Metung Road,Metung,3904,VIC,-37.887816,147.856742,Sailing/Boating Club,,
Mordialloc Motor Yacht Club,Lamberts Island,Mordialloc,3195,VIC,-38.009828,145.087331,Sailing/Boating Club,Kingston,Southern Metro
Mornington Yacht Club,Schnapper Point Drive,Mornington,3931,VIC,-38.215241,145.034239,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Mt Martha Yacht Club,The Esplanade,Mount Martha,3934,VIC,-38.271257,145.007263,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Multihull Yacht Club of Victoria,272 Williamstown Road,Port Melbourne,3207,VIC,-37.836597,144.918102,Sailing/Boating Club,Port Phillip,Southern Metro
Newhaven Yacht Squadron,Seaview Street,Newhaven,3925,VIC,-38.514627,145.361644,Sailing/Boating Club,Bass Coast,Gippsland
Noelex Yacht Squadron,22 Harries Court,Narre Warren North,3804,VIC,-37.997278,145.321083,Sailing/Boating Club,Casey,Southern Metro
Ocean Racing Club of Victoria,Suite 27/91 Moreland Street,Footscray,3011,VIC,-37.808353,144.904492,Sailing/Boating Club,Maribyrnong,North and West Metropolitan Region
Parkdale Yacht Club,Beach Road,Parkdale,3195,VIC,-37.999348,145.075097,Sailing/Boating Club,Kingston,Southern Metro
Port Albert Yacht Club,Bay Street,Port Albert,3971,VIC,-38.669657,146.695198,Sailing/Boating Club,,
Port Fairy Yacht Club,Griffiths Street,Port Fairy,3284,VIC,-38.377712,142.242858,Sailing/Boating Club,Moyne,Barwon S/W
Port Melbourne Yacht Club,End of Bay Street,Port Melbourne,3207,VIC,-37.837711,144.943204,Sailing/Boating Club,Port Phillip,Southern Metro
Portarlington Sailing Club,Portarlington Foreshore,Portarlington,3223,VIC,-38.114587,144.652109,Sailing/Boating Club,Greater Geelong,Barwon S/W
Portland Yacht Club,Lee Breakwater Road,Portland,3305,VIC,-38.352525,141.611239,Sailing/Boating Club,Glenelg,Barwon S/W
Queenscliff Cruising Yacht Club,Sand Island,Swan Bay,3225,VIC,-38.224805,144.635585,Sailing/Boating Club,,
Queenscliff Lonsdale Yacht Club,PO Box 35,Queenscliff,3225,VIC,-38.267445,144.66145,Sailing/Boating Club,Queenscliffe (b),Barwon S/W
Ranelagh Yacht Squadron,3 Rosserdale Crescent,Mount Eliza,3930,VIC,-38.17677,145.078745,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Rhyll Yacht Club,Foreshore,Rhyll,3923,VIC,-38.463737,145.304222,Sailing/Boating Club,,
Rosebud Yacht Club,Foreshore Reserve,Rosebud,3939,VIC,-38.361021,144.890055,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Royal Brighton Yacht Club,253 The Esplanade,Brighton,3186,VIC,-37.909218,144.98601,Sailing/Boating Club,Bayside,Southern Metro
Royal Geelong Yacht Club,PO Box 156,Geelong,3220,VIC,-38.148544,144.361348,Sailing/Boating Club,Greater Geelong,Barwon S/W
Royal Melbourne Yacht Squadron,Pier Road,St Kilda,3182,VIC,-37.863818,144.971067,Sailing/Boating Club,Port Phillip,Southern Metro
Royal Yacht Club of Victoria,120 Nelson Place,Williamstown,3016,VIC,-37.862706,144.906094,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Rye Yacht Club,2120  Point Nepean Road,Rye,3941,VIC,-38.370164,144.825312,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Safety Beach Sailing Club,Marine Drive,Safety Beach,3936,VIC,-38.317895,144.98784,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Sandringham Yacht Club,Jetty Road,Sandringham,3191,VIC,-37.945755,144.997501,Sailing/Boating Club,Bayside,Southern Metro
Somers Yacht Club,Alexandra Avenue,Somers,3927,VIC,-38.389165,145.158966,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Sorrento Sailing Couta Boat Club,3154 Point Nepean Road,Sorrento,3943,VIC,-38.343871,144.753622,Sailing/Boating Club,Mornington Peninsula,Southern Metro
South Gippsland Yacht Club,22 The Esplanade,Inverloch,3996,VIC,-38.634331,145.729344,Sailing/Boating Club,Bass Coast,Gippsland
St Leonards Yacht Club & Motor Squadron,Lower Bluff Road ,St Leonards,3223,VIC,-38.18725,144.712424,Sailing/Boating Club,Greater Geelong,Barwon S/W
Stawell Yacht Club,Lake Fyans,Pomonal,3381,VIC,-37.138509,142.622619,Sailing/Boating Club,,
Sugarloaf Sailing & Boating Club,Gate 11 Ridge Road,Christmas Hills,3775,VIC,-37.659693,145.289512,Sailing/Boating Club,,
Surf Coast Sailing Club,Point Roadknight Boatramp,Anglesea,3230,VIC,-38.408404,144.177458,Sailing/Boating Club,Surf Coast,Barwon S/W
Torquay Sailing Club,Fishermens Beach,Torquay,3228,VIC,-38.325777,144.329804,Sailing/Boating Club,Surf Coast,Barwon S/W
Waranga Boat Club,Tatura Road,Rushworth,3612,VIC,-36.581411,145.024105,Sailing/Boating Club,"Greater Shepparton , Campaspe","Loddon-Mallee, Hume"
Warneet Yacht Club,PO Box 315,Tooradin,3980,VIC,-38.214054,145.380463,Sailing/Boating Club,Casey,Southern Metro
Warrnambool Yacht Club Inc.,Warrnambool Breakwater,Warrnambool,3280,VIC,-38.382766,142.484499,Sailing/Boating Club,Warrnambool,Barwon S/W
Western Port Mariners Club,Western Port Marina,Hastings,3915,VIC,-38.307583,145.190201,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Westernport Yacht Club,Foreshore Road,Balnarring Beach,3926,VIC,-38.390705,145.12605,Sailing/Boating Club,,
Williamstown Sailing Club,PO Box 50,Williamstown,3016,VIC,-37.857292,144.897759,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Yarrawonga Yacht Club,River Road,Yarrawonga,3730,VIC,-36.005615,146.018511,Sailing/Boating Club,Moira,Hume
Accessible Sailing Club of Victoria,C/-Yachting Victoria,Sandringham,3191,VIC,-37.949593,145.003738,"Disability,Sailing/Boating Club",Bayside,Southern Metro
Albert Park Yachting & Angling Club,Beaconsfield Parade,Albert Park,3206,VIC,-37.847902,144.948681,"Fishing Club,Recreation Group,Sailing/Boating Club",Port Phillip,Southern Metro
Mordialloc Boating & Angling Club,PO Box 5036,Mordialloc,3195,VIC,-38.006524,145.086334,"Fishing Club,Sailing/Boating Club",Kingston,Southern Metro
Aireys Inlet Skate Park,Great Ocean Road,Aireys Inlet,3231,VIC,-38.444801,144.118161,Skate Parks,Surf Coast,Barwon S/W
Albert Park Vert Ramp,Albert Park Reserve,Albert Park,3206,VIC,-37.838957,144.965653,Skate Parks,Port Phillip,Southern Metro
Anglesea Ramp,Lions Park,Anglesea,3230,VIC,-38.406388,144.189441,Skate Parks,Surf Coast,Barwon S/W
Apollo Bay Skate Park,Great Ocean Road,Apollo Bay,3233,VIC,-38.754585,143.668985,Skate Parks,Colac-otway,Barwon S/W
Ascot Vale Skate Park,Wingate Avenue,Ascot Vale,3032,VIC,-37.779086,144.919408,Skate Parks,Moonee Valley ; Maribyrnong,North and West Metropolitan Region
Bacchus Marsh Skate Park,Rotary Park,Bacchus Marsh,3340,VIC,-37.673519,144.440712,Skate Parks,"Wyndham , Moorabool , Melton",Grampians; Grampians Region
Bairnsdale Ramp,Davison Oval,Bairnsdale,3875,VIC,-37.824577,147.631719,Skate Parks,East Gippsland,Gippsland
Ballarat Skate Park,Cnr Mair & Armstrong Streets,Ballarat,3350,VIC,-37.559539,143.856725,Skate Parks,Ballarat,Grampians
Balwyn Vert Ramp,Belmore Road,Camberwell,3124,VIC,-37.803408,145.082474,Skate Parks,Boroondara,Eastern Metro
Benalla Skate Park,Bridge Street West,Benalla,3672,VIC,-36.555929,145.972878,Skate Parks,Delatite,Hume
Bendigo Skate Park,Cnr McIvor Road & Kennedy Street,Bendigo,3550,VIC,-36.757278,144.291882,Skate Parks,Greater Bendigo,Loddon-Mallee; Loddon Mallee Region
Bentleigh East Skate Park,East Boundary Road,Bentleigh East,3165,VIC,-37.921079,145.059253,Skate Parks,Glen Eira,Southern Metro
Bill Waterston Skate Park,"C/- Ararat YMCA, ",Ararat,3377,VIC,-37.282262,142.929979,Skate Parks,Ararat Rural,Grampians
Box Hill Skate Park,Canterbury Road,Box Hill,3128,VIC,-37.829198,145.125983,Skate Parks,Whitehorse,Eastern Metro
Box Hill Skate Room,693 Station Street,Box Hill,3128,VIC,-37.8176,145.123696,Skate Parks,Whitehorse,Eastern Metro
Broadmeadows Skate Ramp,Jacana Reserve,Broadmeadows,3047,VIC,-37.688567,144.923854,Skate Parks,Hume,North and West Metropolitan Region
Bulleen Bowl,Swanston Street Reserve,Bulleen,3105,VIC,-37.765811,145.098444,Skate Parks,Manningham,Eastern Metro
Bunningyong Skate Park,Corner Forest & Inglis Streets,Ballarat,3350,VIC,-37.649504,143.886864,Skate Parks,Ballarat,Grampians
Camberwell Skate Park,Riversdale Road,Camberwell,3124,VIC,-37.833476,145.075014,Skate Parks,Boroondara,Eastern Metro
Carrum Downs Skate Park,Sandfield Drive,Carrum Downs,3201,VIC,-38.107197,145.188377,Skate Parks,Frankston,Southern Metro
Chadstone Skate Park,Phoenix Park,Chadstone,3148,VIC,-37.879482,145.082074,Skate Parks,"Stonnington , Monash","Southern Metro, Eastern Metro"
Chelsea Skate Park,Bicentenial Park,Chelsea,3196,VIC,-38.050566,145.129996,Skate Parks,Kingston,Southern Metro
Cheltenham Skate Park,Sir William Fry Reserve,Cheltenham,3192,VIC,-37.964428,145.055984,Skate Parks,"Kingston , Bayside",Southern Metro
Churchill Skate Park,Behind the Churchill Shopping Centre,Churchill,3842,VIC,-38.31342,146.419579,Skate Parks,La Trobe,Gippsland
Clifton Springs Skate Park,Jetty Road Reserve,Clifton Springs,3222,VIC,-38.162001,144.552967,Skate Parks,Greater Geelong,Barwon S/W
Coburg Skate Park,Cnr Gaffney & Bishop Streets,Coburg,3058,VIC,-37.732694,144.951498,Skate Parks,Moreland,North and West Metropolitan Region
Cockatoo Bowl,Recreation Area,Cockatoo,3781,VIC,-37.935949,145.492557,Skate Parks,Cardinia,Southern Metro
Colac Skate Park,Central Reserve,Colac,3250,VIC,-38.348304,143.586902,Skate Parks,Colac-otway,Barwon S/W
Coolaroo Skate Park,Progress Reserve,Coolaroo,3048,VIC,-37.66033,144.932966,Skate Parks,Hume,North and West Metropolitan Region
Corio Skate Park,Off Rose Avenue,Corio,3214,VIC,-38.088268,144.362232,Skate Parks,Greater Geelong,Barwon S/W
Cowes Skate Park,Dunsmore Park,Cowes,3922,VIC,-38.451423,145.246983,Skate Parks,Bass Coast,Gippsland
Craigieburn Bowl,Corner Rayfield Avenue & Craigieburn Road,Craigieburn,3064,VIC,-37.598304,144.935023,Skate Parks,Whittlesea ; Hume,North and West Metropolitan Region
Cranbourne Skate Park,New Holland Drive,Cranbourne,3977,VIC,-38.110699,145.293561,Skate Parks,"Frankston , Casey",Southern Metro
Creswick Skate Park,Water Street,Creswick,3363,VIC,-37.424496,143.903066,Skate Parks,Hepburn,Grampians
Croydon Skate Park,Norton Road,Croydon,3136,VIC,-37.801352,145.284854,Skate Parks,Maroondah,Eastern Metro; Metropolitan East Region
Dandenong Skate Park,John Hemmings Memorial Park,Dandenong,3175,VIC,-37.981072,145.208315,Skate Parks,Greater Dandenong,Southern Metro
Daylesford Skate Park,Stanbridge Street,Daylesford,3460,VIC,-37.345665,144.141905,Skate Parks,Hepburn,Grampians
Delacombe Skate Park,Delacombe Recreation Reserve,Delacombe,3356,VIC,-37.589115,143.814718,Skate Parks,Ballarat,Grampians
Diamond Creek Skate Park,Nillumbik Park,Diamond Creek,3089,VIC,-37.671638,145.160349,Skate Parks,Nillumbik,North and West Metropolitan Region
Dingley Skate Park,Rowan Road Reserve,Dingley,3172,VIC,-37.979961,145.142712,Skate Parks,Greater Dandenong,Southern Metro
Drouin Skate Park,Civic Park,Drouin,3818,VIC,-38.134741,145.858975,Skate Parks,Baw Baw,Gippsland
East Keilor Skate Park,Rosehill Park,Keilor East,3033,VIC,-37.748292,144.872778,Skate Parks,Moonee Valley,North and West Metropolitan Region
Elsternwick Bowls,Elsternwick Park,Elsternwick,3185,VIC,-37.884652,145.001289,Skate Parks,"Port Phillip , Glen Eira , Bayside",Southern Metro
Endeavour Hills Skate Park,Raymond McMahon Boulevard,Endeavour Hills,3802,VIC,-37.97934,145.263742,Skate Parks,Casey,Southern Metro
Epping Vert Ramp,Peppercorn Park,Epping,3076,VIC,-37.647694,145.033755,Skate Parks,Whittlesea,North and West Metropolitan Region
Fitzroy Bowls,Brunswick Street,Fitzroy,3068,VIC,-37.786714,144.980962,Skate Parks,Yarra,North and West Metropolitan Region
Gembrook Skate Park,Corner Main Street & Gembrook Road,Gembrook,3783,VIC,-37.948019,145.537017,Skate Parks,,
Gisborne Skate Park,Gardiner Reserve,Gisborne,3437,VIC,-37.486202,144.593389,Skate Parks,"Macedon Ranges , Melton",Loddon-Mallee
Glen Waverley Skate Park,Glen Waverly Reserve,Glen Waverley,3150,VIC,-37.889803,145.162764,Skate Parks,Monash,Eastern Metro;
Greensborough Skate Park,Yando Street,Greensborough,3088,VIC,-37.697422,145.09784,Skate Parks,Nillumbik ; Banyule,North and West Metropolitan Region
